Date,Open,High,Low,Close
12/24/2023,"43,732","43,952","43,447","43,530"
12/25/2023,"43,530","43,788","42,716","43,422"
12/26/2023,"43,422","43,718","41,689","42,154"
12/27/2023,"42,154","43,562","42,123","43,498"
12/28/2023,"43,498","43,812","42,314","42,521"
12/29/2023,"42,521","43,121","41,689","42,023"
12/30/2023,"42,023","42,581","41,386","42,283"
12/31/2023,"42,283","42,844","41,990","42,537"
1/1/2024,"42,537","43,830","42,084","43,683"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
